protein,drug
hsa:190,DB00755
hsa:2099,DB00396
hsa:2099,DB00655
hsa:2099,DB00783
hsa:2099,D00312
hsa:2099,DB01185
hsa:2099,DB00977
hsa:2099,DB00255
hsa:2099,DB00890
hsa:2099,DB00367
hsa:2099,DB09389
hsa:2099,D00962
hsa:2099,DB00947
hsa:2099,DB00823
hsa:2099,D02217
hsa:2099,DB00304
hsa:2099,DB01196
hsa:2100,DB00783
hsa:2100,DB00255
hsa:2100,DB00947
hsa:2100,D02217
hsa:2100,DB01196
hsa:2101,DB00255
hsa:2103,DB00255
hsa:2104,DB00255
hsa:2908,DB00741
hsa:2908,DB01222
hsa:2908,DB00834
hsa:2908,DB00288
hsa:2908,DB14596
hsa:3174,DB03796
hsa:367,DB00624
hsa:367,DB01185
hsa:367,DB00621
hsa:367,DB00834
hsa:367,DB00499
hsa:367,DB00984
hsa:367,DB01128
hsa:367,DB00665
hsa:4306,DB00421
hsa:4306,DB00834
hsa:4306,DB00700
hsa:5241,DB00396
hsa:5241,DB00717
hsa:5241,DB00834
hsa:5241,DB14512
hsa:5241,DB00367
hsa:5241,DB00603
hsa:5241,DB09389
hsa:5241,DB00378
hsa:5241,DB00823
hsa:5241,DB00304
hsa:5465,DB00636
hsa:5465,DB01039
hsa:5468,DB00412
hsa:5468,DB00966
hsa:5914,DB00755
hsa:5914,DB00926
hsa:5914,DB00982
hsa:5914,DB00799
hsa:5915,DB00755
hsa:5915,DB00926
hsa:5915,DB00799
hsa:5916,DB00755
hsa:5916,DB00926
hsa:5916,DB00799
hsa:6095,DB04540
hsa:6095,DB00619
hsa:6096,DB00755
hsa:6096,DB00799
hsa:6097,DB00755
hsa:6256,DB00755
hsa:6256,DB00926
hsa:6256,DB00799
hsa:6257,DB00755
hsa:6257,DB00926
hsa:6257,DB00799
hsa:6258,DB00755
hsa:6258,DB00926
hsa:6258,DB00799
hsa:7421,DB00136
hsa:7421,DB00153
hsa:7421,DB00169
hsa:7421,DB01070
hsa:7421,DB00910
hsa:8856,DB02789
hsa:8856,DB01045
hsa:8856,DB11148
hsa:9970,DB01174
hsa:9971,DB06777
